30	0.0	0.012305182977598252	NaN	6.152591525915258	6.152591525915258	0.0	
40.0	1.1000110001100011E-4	0.012304276458355565	NaN	6.152138256590803	6.152138256590803	0.0	
50.0	0.002220022200222002	0.012291510031797091	NaN	6.145755033725139	6.145755033725139	0.0	
60.0	0.01412	0.012215949185972175	1.0	6.107904693316523	6.107904693316523	0.0	
70.0	0.03592	0.012069205876659933	1.0	6.034530687605618	6.034530687605618	0.0	
80.0	0.06585	0.011852893015783105	1.0	5.926370779540552	5.926370779540552	0.0	
90.0	0.0947	0.011622533973614266	1.0	5.811187575252018	5.811187575252018	0.0	
100.0	0.12121	0.011402724202993906	1.0	5.701279045950028	5.701279045950028	0.0	
110.0	0.14444	0.011204146990218416	1.0	5.6019870258897715	5.6019870258897715	0.0	
120.0	0.1671	0.010998559245601187	1.0	5.499189568850588	5.499189568850588	0.0	
